feature,importance
roc10,0.046634603
day_of_week,0.0394918
ma20_ratio,0.036234424
adj_close,0.035600334
return,0.034999482
stoch_k,0.03390879
return_lag3,0.033835523
roc5,0.033542722
return_5d,0.032961912
return_20d,0.032779086
month,0.032714933
signal,0.032622382
open,0.031995703
quarter,0.031415295
low,0.031239932
ma20,0.031234363
volume_change,0.030906392
atr14_pct,0.030754132
vol_regime,0.030607665
obv_ratio,0.030480597
obv,0.029683793
high,0.029042441
return_lag1,0.028666332
bb_width,0.028582698
52w_low_ratio,0.028279193
rsi14_lag1,0.028026083
bb_width_lag1,0.028004345
rsi14,0.026785972
close,0.026753794
52w_high_ratio,0.026738595
volume,0.02449422
ma_cross,0.020982394
